SalesDocument,SoldToParty,ShipToParty,BillToParty,PayerParty,SalesDocumentDate,TotalNetAmount,TransactionCurrency
0000500026,0010001021,0010001021,0010001021,0010001021,2026-03-13,37000.00,EUR
0000500027,0010001026,0010001026,0010001026,0010001026,2026-06-02,22000.00,CAD
0000500028,0010000007,0010000007,0010000007,0010000007,2026-05-12,27000.00,EUR
0000500029,0010001031,0010001031,0010001031,0010001031,2026-03-20,16500.00,EUR
0000500030,0010001031,0010001031,0010001031,0010001031,2026-06-27,500.00,EUR
0000500031,0010001031,0010001031,0010001031,0010001031,2026-06-07,28000.00,EUR
0000500032,0010001009,0010001009,0010001009,0010001009,2026-04-19,5500.00,EUR
0000500033,0010001015,0010001015,0010001015,0010001015,2026-05-22,19000.00,EUR
0000500034,0010001016,0010001016,0010001016,0010001016,2026-05-09,23000.00,EUR
0000500035,0010001021,0010001021,0010001021,0010001021,2026-01-19,21500.00,EUR
0000500036,0010001036,0010001036,0010001036,0010001036,2026-04-11,38500.00,CHF
0000500037,0010001005,0010001005,0010001005,0010001005,2026-06-09,12500.00,EUR
0000500038,0010001009,0010001009,0010001009,0010001009,2026-03-06,5500.00,EUR
0000500039,0010001021,0010001021,0010001021,0010001021,2026-03-11,9000.00,EUR
0000500040,0010001011,0010001011,0010001011,0010001011,2026-05-14,11000.00,NOK
0000500041,0010001004,0010001004,0010001004,0010001004,2026-03-01,16500.00,CAD
0000500042,0010001016,0010001016,0010001016,0010001016,2026-03-27,24000.00,EUR
0000500043,0010001030,0010001030,0010001030,0010001030,2026-01-06,19000.00,USD
0000500044,0010001012,0010001012,0010001012,0010001012,2026-03-07,2500.00,CHF
0000500045,0010001015,0010001015,0010001015,0010001015,2026-06-07,46000.00,EUR
0000500046,0010001019,0010001019,0010001019,0010001019,2026-06-17,20000.00,EUR
0000500047,0010001035,0010001035,0010001035,0010001035,2026-03-09,29500.00,EUR
0000500048,0010001006,0010001006,0010001006,0010001006,2026-03-26,2500.00,EUR
0000500049,0010001030,0010001030,0010001030,0010001030,2026-03-10,22000.00,USD
0000500050,0010001008,0010001008,0010001008,0010001008,2026-06-23,24000.00,EUR
0000500051,0010001007,0010001007,0010001007,0010001007,2026-05-24,22000.00,EUR
0000500052,0010001029,0010001029,0010001029,0010001029,2026-02-18,10500.00,EUR
0000500053,0010001003,0010001003,0010001003,0010001003,2026-03-08,12500.00,EUR
0000500054,0010001024,0010001024,0010001024,0010001024,2026-05-26,27000.00,NOK
0000500055,0010001032,0010001032,0010001032,0010001032,2026-05-25,26000.00,GBP
0000500056,0010001033,0010001033,0010001033,0010001033,2026-02-21,9500.00,CAD
0000500057,0010001036,0010001036,0010001036,0010001036,2026-02-03,8500.00,CHF
0000500058,0010001014,0010001014,0010001014,0010001014,2026-01-25,31500.00,EUR
0000500059,0010001019,0010001019,0010001019,0010001019,2026-06-05,22000.00,EUR
0000500060,0010000007,0010000007,0010000007,0010000007,2026-06-22,4500.00,EUR
0000500061,0010001032,0010001032,0010001032,0010001032,2026-04-11,41500.00,GBP
0000500062,0010001023,0010001023,0010001023,0010001023,2026-06-22,29500.00,GBP
0000500063,0010001024,0010001024,0010001024,0010001024,2026-03-10,20000.00,NOK
0000500064,0010001039,0010001039,0010001039,0010001039,2026-02-06,37500.00,USD
0000500065,0010001031,0010001031,0010001031,0010001031,2026-06-25,15000.00,EUR
0000500066,0010001028,0010001028,0010001028,0010001028,2026-02-16,31500.00,GBP
0000500067,0010001036,0010001036,0010001036,0010001036,2026-02-23,44500.00,CHF
0000500068,0010001020,0010001020,0010001020,0010001020,2026-04-18,29000.00,EUR
0000500069,0010001037,0010001037,0010001037,0010001037,2026-06-26,21000.00,EUR
0000500070,0010001005,0010001005,0010001005,0010001005,2026-01-18,41000.00,EUR
0000500071,0010001008,0010001008,0010001008,0010001008,2026-06-11,38500.00,EUR
0000500072,0010001010,0010001010,0010001010,0010001010,2026-04-06,33500.00,EUR
0000500073,0010001001,0010001001,0010001001,0010001001,2026-03-04,32000.00,CAD
0000500074,0010001011,0010001011,0010001011,0010001011,2026-06-22,18000.00,NOK
0000500075,0010001001,0010001001,0010001001,0010001001,2026-05-07,22500.00,CAD
0000500076,0010001027,0010001027,0010001027,0010001027,2026-01-04,25000.00,GBP
0000500077,0010001036,0010001036,0010001036,0010001036,2026-06-11,1000.00,CHF
0000500078,0010001025,0010001025,0010001025,0010001025,2026-05-23,20500.00,NOK
0000500079,0010001009,0010001009,0010001009,0010001009,2026-06-19,29500.00,EUR
0000500080,0010001021,0010001021,0010001021,0010001021,2026-02-16,1000.00,EUR
0000500081,0010001003,0010001003,0010001003,0010001003,2026-03-14,33000.00,EUR
0000500082,0010001015,0010001015,0010001015,0010001015,2026-02-17,17500.00,EUR
